limite,acuracia,precisao,recall,f1_score,verdadeiros_negativos,falsos_positivos,falsos_negativos,verdadeiros_positivos
0.42,0.7580510595694977,0.4658213891951488,0.6372549019607843,0.5382165605095541,3698,969,481,845
0.43,0.7612214249958285,0.4700854700854701,0.6221719457013575,0.5355404089581305,3737,930,501,825
0.44,0.767395294510262,0.4797859690844233,0.6085972850678733,0.5365691489361702,3792,875,519,807
0.45,0.7732354413482396,0.48982109808760027,0.5987933634992458,0.5388530709195792,3840,827,532,794
0.46,0.7789087268479893,0.5003194888178913,0.5904977375565611,0.5416810792113456,3885,782,543,783
0.47,0.7824128149507759,0.5072368421052632,0.581447963800905,0.5418130709768095,3918,749,555,771
0.48,0.7859169030535625,0.5144198524480215,0.5784313725490197,0.5445509407170749,3943,724,559,767
0.49,0.7905890205239446,0.5246699096594858,0.5693815987933635,0.546112115732369,3983,684,571,755
0.5,0.7930919405973635,0.5306267806267806,0.5618401206636501,0.5457875457875457,4008,659,581,745
0.51,0.7977640580677458,0.5419734904270986,0.555052790346908,0.5484351713859911,4045,622,590,736
0.52,0.8022693141998999,0.5533686601059803,0.5512820512820513,0.5523233849641103,4077,590,595,731
0.53,0.8026030368763557,0.5561665357423409,0.5339366515837104,0.5448249326664102,4102,565,618,708
0.54,0.8036042049057234,0.5598393574297189,0.5256410256410257,0.5422014780241151,4119,548,629,697
0.55,0.8057734023026865,0.5672757475083057,0.5150829562594268,0.5399209486166008,4146,521,643,683
0.56,0.80710829300851,0.5726495726495726,0.5052790346907994,0.5368589743589743,4167,500,656,670
0.57,0.8082763223761055,0.5767562879444926,0.5015082956259427,0.536506655909641,4179,488,661,665
0.58,0.8091106290672451,0.5813953488372093,0.49019607843137253,0.5319148936170213,4199,468,676,650
0.59,0.8104455197730686,0.5882899628252788,0.47737556561085975,0.5270607826810991,4224,443,693,633
0.6,0.8124478558318038,0.5971153846153846,0.4683257918552036,0.5249366018596788,4248,419,705,621
0.61,0.8136158851993993,0.6043956043956044,0.45625942684766213,0.5199828104856038,4271,396,721,605
0.62,0.8147839145669948,0.6120331950207469,0.444947209653092,0.5152838427947598,4293,374,736,590
0.63,0.8147839145669948,0.6166306695464363,0.4306184012066365,0.5071047957371225,4312,355,755,571
0.64,0.8161188052728183,0.6252796420581656,0.4215686274509804,0.5036036036036036,4332,335,767,559
0.65,0.8164525279492741,0.6310904872389791,0.41025641025641024,0.49725776965265084,4349,318,782,544
0.66,0.8166193892875021,0.6362545018007203,0.3996983408748115,0.4909680407596109,4364,303,796,530
0.67,0.8166193892875021,0.6406443618339529,0.389894419306184,0.48476324425691514,4377,290,809,517
0.68,0.8181211413315534,0.6524547803617571,0.3808446455505279,0.48095238095238096,4398,269,821,505
0.69,0.8182880026697814,0.6603518267929634,0.3680241327300151,0.47263922518159807,4416,251,838,488
0.7,0.8186217253462372,0.6671328671328671,0.3597285067873303,0.46741793238608526,4429,238,849,477
0.71,0.8189554480226932,0.6785185185185185,0.3453996983408748,0.4577711144427786,4450,217,868,458
0.72,0.8177874186550976,0.685126582278481,0.32654600301659126,0.44228804902962204,4468,199,893,433
0.73,0.8186217253462372,0.6994991652754591,0.31598793363499245,0.43532467532467534,4487,180,907,419
0.74,0.8162856666110462,0.7019748653500898,0.2948717948717949,0.4152947424322889,4501,166,935,391
0.75,0.8174536959786417,0.7222222222222222,0.28431372549019607,0.408008658008658,4522,145,949,377
0.76,0.8151176372434507,0.7280334728033473,0.26244343891402716,0.3858093126385809,4537,130,978,348
0.77,0.8144501918905389,0.7399103139013453,0.248868778280543,0.3724604966139955,4551,116,996,330
0.78,0.8132821625229434,0.7555555555555555,0.23076923076923078,0.3535528596187175,4568,99,1020,306
0.79,0.8122809944935758,0.762402088772846,0.22021116138763197,0.3417203042715038,4576,91,1034,292
0.8,0.8111129651259803,0.7819767441860465,0.2028657616892911,0.3221556886227545,4592,75,1057,269
0.81,0.8097780744201568,0.7980769230769231,0.18778280542986425,0.304029304029304,4604,63,1077,249
0.82,0.8061071249791424,0.7992700729927007,0.16515837104072398,0.27375,4612,55,1107,219
0.83,0.8039379275821792,0.7984189723320159,0.15233785822021115,0.2558581380620646,4616,51,1124,202
0.84,0.8014350075087602,0.8063063063063063,0.13499245852187028,0.23126614987080105,4624,43,1147,179
0.85,0.7985983647588853,0.8216216216216217,0.11463046757164404,0.20119126406353408,4634,33,1174,152
0.86,0.7959285833472385,0.8280254777070064,0.09803921568627451,0.17532029669588672,4640,27,1196,130
0.87,0.7927582179209077,0.8043478260869565,0.083710407239819,0.15163934426229508,4640,27,1215,111
0.88,0.7887535458034374,0.8,0.06033182503770739,0.11220196353436185,4647,20,1246,80
0.89,0.7879192391122977,0.8666666666666667,0.049019607843137254,0.092790863668808,4657,10,1261,65
0.9,0.7852494577006508,0.8421052631578947,0.03619909502262444,0.06941431670281996,4658,9,1278,48
